TQI_ITT,JACS 2.0,LEV_1,LEV_2,LEV_3
0,T400,F,33,087
0,T410,F,33,087
0,T420,F,33,087
0,T430,F,33,087
0,T490,F,33,087
0,T500,F,33,088
0,T510,F,33,088
0,T520,F,33,088
0,T530,F,33,088
0,T590,F,33,088
0,T600,F,33,088
0,T610,F,33,088
0,T620,F,33,088
0,T630,F,33,088
0,T690,F,33,088
0,T700,F,31,076
0,T710,F,31,076
0,T711,F,31,076
0,T720,F,31,076
0,T721,F,31,076
0,T730,F,31,076
0,T731,F,31,076
0,T790,F,31,076
0,T800,F,31,076
0,T810,F,31,076
0,T820,F,31,076
0,T830,F,31,076
0,T890,F,31,076
0,T900,F,33,089
0,T910,F,33,089
0,T920,F,33,089
0,T930,F,33,089
0,T990,F,33,089
0,V000,G,34,092
0,V100,G,34,090
0,V110,G,34,090
0,V120,G,34,090
0,V130,G,34,090
0,V140,G,34,090
0,V141,G,34,090
0,V142,G,34,090
0,V143,G,34,090
0,V144,G,34,090
0,V145,G,34,090
0,V146,G,34,090
0,V147,G,34,090
0,V148,G,34,090
0,V190,G,34,090
0,V200,G,34,090
0,V210,G,34,090
0,V211,G,34,090
0,V212,G,34,090
0,V213,G,34,090
0,V214,G,34,090
0,V220,G,34,090
0,V221,G,34,090
0,V222,G,34,090
0,V223,G,34,090
0,V224,G,34,090
0,V225,G,34,090
0,V230,G,34,090
0,V231,G,34,090
0,V232,G,34,090
0,V233,G,34,090
0,V234,G,34,090
0,V240,G,34,090
0,V241,G,34,090
0,V242,G,34,090
0,V243,G,34,090
0,V250,G,34,090
0,V251,G,34,090
0,V252,G,34,090
0,V253,G,34,090
0,V254,G,34,090
0,V255,G,34,090
0,V260,G,34,090
0,V261,G,34,090
0,V262,G,34,090
0,V270,G,34,090
0,V271,G,34,090
0,V290,G,34,090
0,V300,G,34,090
0,V310,G,34,090
0,V320,G,34,090
0,V321,G,34,090
0,V322,G,34,090
0,V323,G,34,090
0,V330,G,34,090
0,V340,G,34,090
0,V350,G,34,090
0,V360,G,34,090
0,V370,G,34,090
0,V380,G,34,090
0,V381,G,34,090
0,V382,G,34,090
0,V383,G,34,090
0,V390,G,34,090
0,V391,G,34,090
0,V400,G,34,091
0,V410,G,34,091
0,V420,G,34,091
0,V430,G,34,091
0,V440,G,34,091
0,V450,G,34,091
0,V460,G,34,091
0,V490,G,34,091
0,V500,G,35,093
0,V510,G,35,093
0,V511,G,35,093
0,V520,G,35,093
0,V530,G,35,093
0,V540,G,35,093
0,V550,G,35,093
0,V560,G,35,093
0,V590,G,35,093
0,V600,G,35,094
0,V610,G,35,094
0,V620,G,35,094
0,V621,G,35,094
0,V622,G,35,094
0,V623,G,35,094
0,V624,G,35,094
0,V625,G,35,094
0,V626,G,35,094
0,V627,G,35,094
0,V630,G,35,094
0,V640,G,35,094
0,V641,G,35,094
0,V642,G,35,094
0,V643,G,35,094
0,V644,G,35,094
0,V645,G,35,094
0,V650,G,35,094
0,V690,G,35,094
0,V900,G,34,092
0,V990,G,34,092
0,W000,H,38,102
0,W100,H,36,095
0,W110,H,36,095
0,W120,H,36,095
0,W130,H,36,095
0,W140,H,36,095
0,W150,H,36,095
0,W160,H,36,095
0,W190,H,36,095
0,W200,H,36,096
0,W210,H,36,096
0,W211,H,36,096
0,W212,H,36,096
0,W213,H,36,096
0,W220,H,36,096
0,W230,H,36,096
0,W231,H,36,096
0,W240,H,36,096
0,W250,H,36,096
0,W260,H,36,096
0,W270,H,36,096
0,W280,H,36,096
0,W290,H,36,096
0,W300,H,37,097
0,W310,H,37,097
0,W330,H,37,097
0,W340,H,37,097
0,W350,H,37,097
0,W360,H,37,097
0,W390,H,37,097
0,W400,H,37,098
0,W410,H,37,098
0,W420,H,37,098
0,W430,H,37,098
0,W440,H,37,098
0,W450,H,37,098
0,W451,H,37,098
0,W452,H,37,098
0,W460,H,37,098
0,W461,H,37,098
0,W490,H,37,098
0,W500,H,37,099
0,W510,H,37,099
0,W520,H,37,099
0,W530,H,37,099
0,W540,H,37,099
0,W590,H,37,099
0,W600,H,38,100
0,W610,H,38,100
0,W611,H,38,100
0,W612,H,38,100
0,W613,H,38,100
0,W614,H,38,100
0,W615,H,38,100
0,W620,H,38,100
0,W630,H,38,100
0,W631,H,38,100
